signal_date,execution_date,universe_size,listed_since_prior,delisted_since_prior,price_coverage,fundamental_coverage,minimum_internal_benchmark_coverage,delisting_liquidations
2022-09-30,2022-10-03,457,2,2,1.0,1.0,0.0,0
2022-10-31,2022-11-01,460,3,0,1.0,1.0,0.0,0
2022-11-30,2022-12-01,461,1,0,1.0,1.0,0.0,0
2022-12-30,2023-01-03,463,2,0,1.0,1.0,0.0,0
2023-01-31,2023-02-01,463,1,1,1.0,1.0,0.0,0
2023-02-28,2023-03-01,463,1,1,1.0,1.0,0.0,0
2023-03-31,2023-04-03,465,2,0,1.0,1.0,0.0,0
2023-04-28,2023-05-01,465,0,0,1.0,1.0,0.0,0
2023-05-31,2023-06-01,466,1,0,1.0,1.0,0.0,0
2023-06-30,2023-07-03,467,1,0,1.0,1.0,0.0,0
2023-07-31,2023-08-01,467,0,0,1.0,1.0,0.0,0
2023-08-31,2023-09-01,466,0,1,1.0,1.0,0.0,0
2023-09-29,2023-10-02,465,1,2,1.0,1.0,0.0,0
2023-10-31,2023-11-01,465,2,2,1.0,1.0,0.0,0
2023-11-30,2023-12-01,465,0,0,1.0,1.0,0.0,0
2023-12-29,2024-01-02,467,4,2,1.0,1.0,0.0,0
2024-01-31,2024-02-01,467,0,0,1.0,1.0,0.0,0
2024-02-29,2024-03-01,467,1,1,1.0,1.0,0.0,0
2024-03-28,2024-04-01,468,3,2,1.0,1.0,0.0,0
2024-04-30,2024-05-01,466,0,2,1.0,1.0,0.0,0
2024-05-31,2024-06-03,468,2,0,1.0,1.0,0.0,0
2024-06-28,2024-07-01,468,2,2,1.0,1.0,0.0,0
2024-07-31,2024-08-01,469,1,0,1.0,1.0,0.0,0
2024-08-30,2024-09-03,470,1,0,1.0,1.0,0.0,0
2024-09-30,2024-10-01,469,2,3,1.0,1.0,0.0,0
2024-10-31,2024-11-01,468,1,2,1.0,1.0,0.0,0
2024-11-29,2024-12-02,470,2,0,1.0,1.0,0.0,0
2024-12-31,2025-01-02,472,3,1,1.0,1.0,0.0,0
2025-01-31,2025-02-03,472,0,0,1.0,1.0,0.0,0
2025-02-28,2025-03-03,473,1,0,1.0,1.0,0.0,0
2025-03-31,2025-04-01,473,4,4,1.0,1.0,0.0,0
2025-04-30,2025-05-01,473,0,0,1.0,1.0,0.0,0
2025-05-30,2025-06-02,473,0,0,1.0,1.0,0.0,0
2025-06-30,2025-07-01,474,1,0,1.0,1.0,0.0,0
2025-07-31,2025-08-01,474,0,0,1.0,1.0,0.0,0
2025-08-29,2025-09-02,475,1,0,1.0,1.0,0.0,0
2025-09-30,2025-10-01,474,2,3,1.0,1.0,0.0,0
2025-10-31,2025-11-03,474,1,1,1.0,1.0,0.0,0
2025-11-28,2025-12-01,474,1,1,1.0,1.0,0.0,0
2025-12-31,2026-01-02,475,3,2,1.0,1.0,0.0,0
2026-01-30,2026-02-02,475,0,0,1.0,1.0,0.0,0
2026-02-27,2026-03-02,477,2,0,1.0,1.0,0.0,0
2026-03-31,2026-04-01,477,4,4,1.0,1.0,0.0,0
2026-04-30,2026-05-01,478,1,0,1.0,1.0,0.0,0
2026-05-29,2026-06-01,479,1,0,1.0,1.0,0.0,0
