date,portfolio_return,gross_return,benchmark_return,active_return,portfolio_value,turnover,transaction_cost,cash,delisting_liquidations,missing_return_fills,drawdown,benchmark_value,secondary_benchmark_return,internal_equal_weight_return,internal_cap_weight_return,internal_benchmark_coverage
2023-01-03,0.0,0.0,-0.004000548879248611,0.004000548879248611,1000000.0,0.0,0.0,1000000.0,0,0,0.0,995999.4511207514,-0.004209849869997728,0.0,0.0,0.0
2023-01-04,0.0,0.0,0.007538970575044379,-0.007538970575044379,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1003508.2616755111,0.007720259363264814,0.0,0.0,0.0
2023-01-05,0.0,0.0,-0.011645528874622113,0.011645528874622113,1000000.0,0.0,0.0,1000000.0,0,0,0.0,991821.8772382471,-0.011413404323305176,0.0,0.0,0.0
2023-01-06,0.0,0.0,0.02284078102943865,-0.02284078102943865,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1014475.8635564526,0.02293217666501901,0.0,0.0,0.0
2023-01-09,0.0,0.0,-0.0007676325452631305,0.0007676325452631305,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1013697.1188672028,-0.0005669877300311654,0.0,0.0,0.0
2023-01-10,0.0,0.0,0.006978233159061986,-0.006978233159061986,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1020770.9337153274,0.007012902677220989,0.0,0.0,0.0
2023-01-11,0.0,0.0,0.012849424614881588,-0.012849424614881588,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1033887.2528771647,0.012647694174519941,0.0,0.0,0.0
2023-01-12,0.0,0.0,0.0034159058663651987,-0.0034159058663651987,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1037418.9144094281,0.0036409659984948384,0.0,0.0,0.0
2023-01-13,0.0,0.0,0.003996858363534361,-0.003996858363534361,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1041565.3308739742,0.0038793275244197734,0.0,0.0,0.0
2023-01-17,0.0,0.0,-0.0020304911890052235,0.0020304911890052235,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1039450.4416468613,-0.0018316734516631294,0.0,0.0,0.0
2023-01-18,0.0,0.0,-0.015562598500411085,0.015562598500411085,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1023273.8917624363,-0.01578814853656607,0.0,0.0,0.0
2023-01-19,0.0,0.0,-0.007638350296294338,0.007638350296294338,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1015457.7673281025,-0.007279886243595102,0.0,0.0,0.0
2023-01-20,0.0,0.0,0.018918401045981525,-0.018918401045981525,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1034668.6046156726,0.0186289197621623,0.0,0.0,0.0
