candidate_id,test,setting,status,net_total_return,sharpe_ratio,max_drawdown,sharpe_decline,error,run_id
v1_drawdown_fixed,base,configured,valid,3.298293463612648,1.1312589959614874,-0.3371419391881827,0.0,,
v1_drawdown_fixed,cost_sensitivity,5.0,valid,3.3035660870807817,1.1321269041638502,-0.33710024516261394,-0.0007672055696009409,,
v1_drawdown_fixed,cost_sensitivity,10.0,valid,3.296735681375517,1.1310083146590413,-0.33714542399859593,0.0002215949692696479,,
v1_drawdown_fixed,cost_sensitivity,25.0,valid,3.276308260173229,1.127651447470705,-0.337280960506541,0.003188967781614266,,
v1_drawdown_fixed,cost_sensitivity,50.0,valid,3.24247423721266,1.1220530378411777,-0.3375068546864507,0.008137798818108204,,
v1_drawdown_fixed,top_n_sensitivity,30,valid,3.2571289981979215,1.1230512217227284,-0.3371149902470386,0.007255433342903895,,
v1_drawdown_fixed,top_n_sensitivity,50,valid,3.2970785531325335,1.1314306907967628,-0.33692077952496624,-0.00015177323308667427,,
v1_drawdown_fixed,top_n_sensitivity,100,invalid,,,,,Portfolio optimizer failed on 2016-01-29: Optimizer produced 29 holdings; minimum acceptable is 50.,
v1_drawdown_fixed,rebalance_day_shift,-5,valid,3.4581578519835556,1.1396453799706592,-0.32665630508096033,-0.00741331917722695,,20260614T132509Z-backtest-a244e696
v1_drawdown_fixed,rebalance_day_shift,5,valid,3.179895796234007,1.0645986268286187,-0.34975704940623176,0.0589258245643494,,20260614T132702Z-backtest-9a73aade
v2_core,base,configured,valid,3.11326948609811,1.1158455608577256,-0.30171786557161484,0.0,,
v2_core,cost_sensitivity,5.0,valid,3.1327782910482,1.119252166825218,-0.30167526710484904,-0.0030529367925018623,,
v2_core,cost_sensitivity,10.0,valid,3.117207818791093,1.1165450297827657,-0.3017171584753868,-0.0006268510173598489,,
v2_core,cost_sensitivity,25.0,valid,3.0708416075795464,1.1084178459639187,-0.3018428325870004,0.006656579686616643,,
v2_core,cost_sensitivity,50.0,valid,2.994702764358828,1.0948537062149055,-0.3020522894396904,0.018812508987967907,,
v2_core,top_n_sensitivity,30,valid,3.1119526871868635,1.1156387858878947,-0.30173278663661807,0.00018530787510769825,,
v2_core,top_n_sensitivity,50,valid,3.108584519919254,1.1148992039080443,-0.30183947136212097,0.000848107464758668,,
v2_core,top_n_sensitivity,100,invalid,,,,,Portfolio optimizer failed on 2016-01-29: Optimizer produced 46 holdings; minimum acceptable is 50.,
v2_core,rebalance_day_shift,-5,invalid,,,,,Optimizer fallback is not publishable on 2016-06-23: Optimizer produced 23 holdings; minimum acceptable is 25.,
v2_core,rebalance_day_shift,5,invalid,,,,,Optimizer fallback is not publishable on 2016-02-05: Optimizer produced 24 holdings; minimum acceptable is 25.,
